id,coder,coder_text,pmcid,protocol,participants,participants_text,journal,pub_year,impact_factor,verbatim,reproducible,reproducible_text,anova_within_between,comments_calc,comments_general
3,EZ/RTT,,PMC8048988,No,Humans,,JOURNAL OF CLINICAL NURSING,2021,1.972,"The sample size was calculated as 74 participants using G*Power 3.1.9. for the significance level of .05, power of 80% and effect size of .27 for repeated measures analysis of variance (ANOVA) based on a previous study (Kim et al., 2013). Considering the attrition rate, 84 participants were selected for each group. Four participants dropped out during the 8‚Äêweek programs and five dropped out at 12 weeks post‚Äêtest owing to transfer to other hospitals. Thus, 37 participants from the experimental group and 38 from the control group completed the study (Figure ‚Äã",No,,"Yes, but I cannot reasonably assume which option they used.",,
3,resolveNotes,,,,,,,,,,,,,,
4,EZ,,PMC5970034,No,Humans,,Obesity,2019,4.042,"An a priori power analysis, conducted using G*Power (38), indicated a minimum sample size of 42 for adequate power (‚â•.80) to detect medium-sized effects in mixed analysis of variance (ANOVA) with two assessment points and within-between interactions, assuming medium-sized correlations (r = .5) between repeated measures. Shopping data from one participant in the default condition was missing due to an error downloading the data, resulting in a final sample size of 59. Responses to self-report measures and data from the experimental task were merged into a single database for analysis. All statistical analyses were conducted using SPSS version 24. If participants selected items that could not fit into any categories on the TFPC [i.e., toilet paper (n = 1), water (n = 12), and beef broth (n = 1)], those items were not entered into the TFPC.",No,,"Yes, but I cannot reasonably assume which option they used.",,
4,RTT,,PMC5970034,No,Humans,,Obesity,2018,3.873,"An a priori power analysis, conducted using G*Power (38), indicated a minimum sample size of 42 for adequate power (≥.80) to detect medium-sized effects in mixed analysis of variance (ANOVA) with two assessment points and within-between interactions, assuming medium-sized correlations (r = .5) between repeated measures.","Yes, but I've had to make some assumptions. (please list the assumptions you made)","alpha = 0.05, default option","Yes, but the researchers use the default option.","An a priori power analysis, conducted using G*Power (38), indicated a minimum sample size of 42 for adequate power (≥.80) to detect medium-sized effects in mixed analysis of variance (ANOVA) with two assessment points and within-between interactions, assuming medium-sized correlations (r = .5) between repeated measures.",
4,EZ/RTT,,PMC5970034,No,Humans,,Obesity,2018,3.873,"An a priori power analysis, conducted using G*Power (38), indicated a minimum sample size of 42 for adequate power (≥.80) to detect medium-sized effects in mixed analysis of variance (ANOVA) with two assessment points and within-between interactions, assuming medium-sized correlations (r = .5) between repeated measures.","Yes, but I've had to make some assumptions. (please list the assumptions you made)","alpha = 0.05, default option","Yes, but the researchers use the default option.",,
4,resolveNotes,,,,,,,,,,nc,,see reproduction,,
5,EZ,,PMC6804977,No,Humans,,PLoS One,2918,2.766,"A power analysis using G*Power 3.1 [40] indicated that we required a minimum of 158 participants to detect medium-sized main effects (e.g., fs ‚â• .25) with statistical power at the recommended .80 level and Œ± = .05 [41]. With 167 participants, our actual power was .825.",No,,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,,
5,RTT,,PMC6804977,No,Humans,,PLoS One,2019,2.766,"A power analysis using G*Power 3.1 [40] indicated that we required a minimum of 158 participants to detect medium-sized main effects (e.g., fs ≥ .25) with statistical power at the recommended .80 level and α = .05 [41]. With 167 participants, our actual power was .825.",No,,"Yes, but I cannot reasonably assume which option they used.",,
5,EZ/RTT,,PMC6804977,No,Humans,,PLoS One,2019,2.766,"A power analysis using G*Power 3.1 [40] indicated that we required a minimum of 158 participants to detect medium-sized main effects (e.g., fs ≥ .25) with statistical power at the recommended .80 level and α = .05 [41]. With 167 participants, our actual power was .825.",No,,"Yes, but I cannot reasonably assume which option they used.",,
5,resolveNotes,,,,,,,,,,,,"Emmanuel: the effect size they repore is ""fs > 0.25"", which would be for an ANOVA.",,
6,EZ,,PMC8176058,No,Humans,,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,2021,2.802,"Using G*Power-3, an a priori power analysis was conducted with a medium effect size (d = 0.25), and an alpha of 0.05 to achieve a power of 0.95 (Faul, et al., 2007). The required sample to test within gender and between each Class interaction (2x3 factorial multifactorial ANOVA) was 251 subjects; hence, 300 records were selected.",No,,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,,
6,RTT,,PMC8176058,No,Humans,,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,2021,2.802,"Using G*Power-3, an a priori power analysis was conducted with a medium effect size (d = 0.25), and an alpha of 0.05 to achieve a power of 0.95 (Faul, et al., 2007). The required sample to test within gender and between each Class interaction (2x3 factorial multifactorial ANOVA) was 251 subjects; hence, 300 records were selected.",No,,"Yes, and the researchers selected a non-default option.","I can almost reproduce this calculation (I get 250 instead of 251), so it may just be a version difference. They likely misstated the effect size as d instead of f. So I had to assume this typo and also the option to almost reproduce the calculation.",
6,EZ/RTT,,PMC8176058,No,Humans,,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,2021,2.802,"Using G*Power-3, an a priori power analysis was conducted with a medium effect size (d = 0.25), and an alpha of 0.05 to achieve a power of 0.95 (Faul, et al., 2007). The required sample to test within gender and between each Class interaction (2x3 factorial multifactorial ANOVA) was 251 subjects; hence, 300 records were selected.",No,,"Yes, and the researchers selected a non-default option.",,
6,resolveNotes,,,,,,,,,,,,nc,,
7,EZ,,PMC5217616,No,Humans,,BMC Research Notes,2017,NA,"Power analysis suggests that a total sample size of N = 48 is needed to replicate the priming effect with an expected medium effect size of f = 0.30 assuming a power of ≥0.80 and an alpha level of 0.05 (G*Power, Version 3.1.9.2, University Düsseldorf, Germany).",No,,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,,
7,RTT,,PMC5217616,No,Humans,,BMC Research Notes,2017,NA,"Power analysis suggests that a total sample size of N = 48 is needed to replicate the priming effect with an expected medium effect size of f = 0.30 assuming a power of ≥0.80 and an alpha level of 0.05 (G*Power, Version 3.1.9.2, University Düsseldorf, Germany).",No,,"Yes, but I cannot reasonably assume which option they used.","I would guess they use the default option which returns 24 for me, whereas cohen's option returns 222",
7,EZ/RTT,,PMC5217616,No,Humans,,BMC Research Notes,2017,NA,"Power analysis suggests that a total sample size of N = 48 is needed to replicate the priming effect with an expected medium effect size of f = 0.30 assuming a power of ≥0.80 and an alpha level of 0.05 (G*Power, Version 3.1.9.2, University Düsseldorf, Germany).",No,,"Yes, but I cannot reasonably assume which option they used.",,
7,resolveNotes,,,,,,,,,,,,nc,,
8,EZ,,PMC7441373,No,Humans,,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,2020,3.812,"We used the G*Power (Faul, Erdfelder, Lang, and Buchner, 2007) (unpublished observations) software to calculate the sample size. The analysis of variance for repeated measurements used an effect size of 0.20, error of 5%, and confidence interval of 95%. The minimum sample size was calculated as 28 for two groups and 12 measurements",No,,"Yes, but I cannot reasonably assume which option they used.",,
8,RTT,,PMC7441373,No,Humans,,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,2020,3.812,"The sample analysis was conducted before the study. We used the G*Power (Faul, Erdfelder, Lang, and Buchner, 2007) (unpublished observations) software to calculate the sample size. The analysis of variance for repeated measurements used an effect size of 0.20, error of 5%, and confidence interval of 95%. The minimum sample size was calculated as 28 for two groups and 12 measurements. ","Yes, but I've had to make some assumptions. (please list the assumptions you made)","that by ""confidence interval"" they meant power = 95%; default option; correlation among re measure = 0.5 ; ","Yes, but the researchers use the default option.",,
8,EZ/RTT,,PMC7441373,No,Humans,,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,2020,3.812,"The sample analysis was conducted before the study. We used the G*Power (Faul, Erdfelder, Lang, and Buchner, 2007) (unpublished observations) software to calculate the sample size. The analysis of variance for repeated measurements used an effect size of 0.20, error of 5%, and confidence interval of 95%. The minimum sample size was calculated as 28 for two groups and 12 measurements. ","Yes, but I've had to make some assumptions. (please list the assumptions you made)","that by ""confidence interval"" they meant power = 95%; default option; correlation among re measure = 0.5 ; ","Yes, but the researchers use the default option.",,
8,resolveNotes,,,,,,,,,,nc,,nc,,
9,EZ,,PMC7890472,No,Humans,,Royal Society Open Science,2021,2.646,"Using the effect size derived from this pilot work (f = 0.549; correlation among repeated measures = 0.592), an a priori repeated measure comparison using G*Power [34] with Œ± = 0.05 and 1-√ü = 0.95, suggested a minimum required sample size of nine pairs per condition.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",assuming they mean 95% power,"Yes, but I cannot reasonably assume which option they used.",,
9,RTT,,PMC7890472,No,Humans,,Royal Society Open Science,2021,2.646,"An effect size from this study was derived using the same measure of nonverbal coordination used in this paper, calculated from the data of a WiTilt placed on the chest of the interviewee and a confederate interviewer. Using the effect size derived from this pilot work (f = 0.549; correlation among repeated measures = 0.592), an a priori repeated measure comparison using G*Power [34] with α = 0.05 and 1-ß = 0.95, suggested a minimum required sample size of nine pairs per condition.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",powered for main effect of between factors; 3x3 anova (as stated in the results section),"Yes, but the researchers use the default option.",The default option doesn't seem to have as big of an impact for between factors.,
9,EZ/RTT,,PMC7890472,No,Humans,,Royal Society Open Science,2021,2.646,"An effect size from this study was derived using the same measure of nonverbal coordination used in this paper, calculated from the data of a WiTilt placed on the chest of the interviewee and a confederate interviewer. Using the effect size derived from this pilot work (f = 0.549; correlation among repeated measures = 0.592), an a priori repeated measure comparison using G*Power [34] with α = 0.05 and 1-ß = 0.95, suggested a minimum required sample size of nine pairs per condition.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",powered for main effect of between factors; 3x3 anova (as stated in the results section),"Yes, but the researchers use the default option.",The default option doesn't seem to have as big of an impact for between factors.,
9,resolveNotes,,,,,,,,,,,,nc,,
10,EZ,,PMC8213559,No,Humans,,Attention Perception & Psychophysics,2021,1.893,"""Participants A power analysis using G*Power 3 (Faul et al., 2007) was conducted to determine the required sample size. The sample size to detect an effect of large size2 (f = .40) with a power of .80 and an alpha-error of .05 in a repeated-measures ANOVA setting comprising a within-subject factor with two conditions was 15. We recruited 20 participants from the participants‚Äô pool of a German university with the hroot software (Bock et al., 2014). Eighty percent of the participants were students, amongst them 25% studied psychology. All participants completed an informed consent form and were remunerated with course credit or a bar of chocolate. Participants had an average age of 25 years (min = 19, max = 64, SD = 9.54) and most of them were female (80%).
""",No,,"Yes, but I cannot reasonably assume which option they used.",,
10,RTT,,PMC8213559,No,Humans,,Attention Perception & Psychophysics,2021,1.893,"A power analysis using G*Power 3 (Faul et al., 2007) was conducted to determine the required sample size. The sample size to detect an effect of large size2 (f = .40) with a power of .80 and an alpha-error of .05 in a repeated-measures ANOVA setting comprising a within-subject factor with two conditions was 15.",No,,"Yes, but I cannot reasonably assume which option they used.",,
10,EZ/RTT,,PMC8213559,No,Humans,,Attention Perception & Psychophysics,2021,1.893,"A power analysis using G*Power 3 (Faul et al., 2007) was conducted to determine the required sample size. The sample size to detect an effect of large size2 (f = .40) with a power of .80 and an alpha-error of .05 in a repeated-measures ANOVA setting comprising a within-subject factor with two conditions was 15.",No,,"Yes, but I cannot reasonably assume which option they used.",,
10,resolveNotes,,,,,,,,,,,,,,
11,EZ,,PMC8136741,No,Humans,,PLoS One,2021,2.74,"""The stimuli used as stop signals were similar to the ones we used in previous studies based on the same detection task with the same protocols of RTs evaluation [30, 31]. When presented in a visuo‚Äìauditory modality, this type of signals induces a shortening of the RTs resulting from a multisensory integration as revealed by the violation of the race model. By accepting a Type 1 risk Œ± of .05 and a statistical power 1 ‚ÄìŒ≤ of .95 and an effect size .25 (number of groups 3, number of measures 8, correlations of repeated measures 0.5, non‚Äìsphericity correction 1) we can estimate the number of participants for the ‚ÄúANOVA repeated measures within‚Äìbetween interactions‚Äù (using G*power 3.1.9.7 software [32]) as 30 participants, i.e., 10 participants per group. Moreover, in previous studies, SSRT values were convincingly compared between conditions when manipulating stimulation modality in 10 participants [33] or response modality in 9 participants [34].","Yes, based solely on the information in the article or its supplementary material",,"Yes, but the researchers use the default option.",,
11,RTT,,PMC8136741,No,Humans,,PLoS One,2021,2.74,"By accepting a Type 1 risk α of .05 and a statistical power 1 –β of .95 and an effect size .25 (number of groups 3, number of measures 8, correlations of repeated measures 0.5, non–sphericity correction 1) we can estimate the number of participants for the “ANOVA repeated measures within–between interactions” (using G*power 3.1.9.7 software [32]) as 30 participants, i.e., 10 participants per group. ","Yes, but I've had to make some assumptions. (please list the assumptions you made)",that they selected the default option,"Yes, but the researchers use the default option.",I could pretty much reproduce it without any assumptions (only that they used the default option. Cohen's option gives a sample size of 438.,
11,EZ/RTT,,PMC8136741,No,Humans,,PLoS One,2021,2.74,"By accepting a Type 1 risk α of .05 and a statistical power 1 –β of .95 and an effect size .25 (number of groups 3, number of measures 8, correlations of repeated measures 0.5, non–sphericity correction 1) we can estimate the number of participants for the “ANOVA repeated measures within–between interactions” (using G*power 3.1.9.7 software [32]) as 30 participants, i.e., 10 participants per group. ","Yes, based solely on the information in the article or its supplementary material",that they selected the default option,"Yes, but the researchers use the default option.",I could pretty much reproduce it without any assumptions (only that they used the default option. Cohen's option gives a sample size of 438.,
11,resolveNotes,,,,,,,,,,"We need to assume the default option. But, given that it is automatically selected, I'l; count this as fully reproducible.",,,,
12,EZ,,PMC6826255,No,Humans,,JOURNAL OF CLINICAL PSYCHOLOGY,2019,2.33,,"Yes, based solely on the information in the article or its supplementary material",,"Yes, but the researchers use the default option.",,
12,RTT,,PMC6826255,No,Humans,,JOURNAL OF CLINICAL PSYCHOLOGY,2019,2.33,"Power analyses with G*Power (Faul, Erdfelder, Lang, & Buchner, 2007) for the detection of small effects (Cohen’s f = 0.12) for the interaction between time (Pre, S5, S15, and S25) and treatment condition (TAU+M vs. TAU+PMR vs. TAU; analysis of variance [ANOVA] repeated measures, within‐between‐interaction, α = 0.05, power (1 − β) = 0.80, number of groups = 3, number of measurements = 4, pre–post correlation r = 0.5, nonsphericity correction = 1) for the GSI primary outcome resulted in a sample size of 123 patients. Although this should only be seen as a proxy for the power of the reported multilevel models (MLMs), previous research showed that power in MLM is comparable to (or even higher than) power in an ANOVA design (Baldwin, Imel, Braithwaite, & Atkins, 2014; Quené & van den Bergh, 2004). The planned sample size should, therefore, be considered a conservative estimate required to detect a small condition × time interaction. Taking potential dropouts into account, a total sample of 162 patients was assigned to one of the three treatment groups by a stratified randomization process.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",default option,"Yes, but the researchers use the default option.",the only info I didn't have for the reproduction was the default option (so it's pretty much unambigurously reproducible),
12,EZ/RTT,,PMC6826255,No,Humans,,JOURNAL OF CLINICAL PSYCHOLOGY,2019,2.33,"Power analyses with G*Power (Faul, Erdfelder, Lang, & Buchner, 2007) for the detection of small effects (Cohen’s f = 0.12) for the interaction between time (Pre, S5, S15, and S25) and treatment condition (TAU+M vs. TAU+PMR vs. TAU; analysis of variance [ANOVA] repeated measures, within‐between‐interaction, α = 0.05, power (1 − β) = 0.80, number of groups = 3, number of measurements = 4, pre–post correlation r = 0.5, nonsphericity correction = 1) for the GSI primary outcome resulted in a sample size of 123 patients. Although this should only be seen as a proxy for the power of the reported multilevel models (MLMs), previous research showed that power in MLM is comparable to (or even higher than) power in an ANOVA design (Baldwin, Imel, Braithwaite, & Atkins, 2014; Quené & van den Bergh, 2004). The planned sample size should, therefore, be considered a conservative estimate required to detect a small condition × time interaction. Taking potential dropouts into account, a total sample of 162 patients was assigned to one of the three treatment groups by a stratified randomization process.","Yes, based solely on the information in the article or its supplementary material",default option,"Yes, but the researchers use the default option.",the only info I didn't have for the reproduction was the default option (so it's pretty much unambigurously reproducible),
12,resolveNotes,,,,,,,,,,,,,,
13,EZ,,PMC6923274,No,Humans,,Frontiers in Psychology,2019,2.089," Sample size was based on an a priori power analysis using G‚àóPower 3 (Faul et al., 2007), with power set at 0.8 and alpha set at 0.05. Because no published studies had examined perceptions of men‚Äôs and women‚Äôs crying in different contexts at the time that the research was conducted, I conservatively estimated based on my own past research on gender that effect sizes would fall in the medium-small range, and set effect size at Œ∑p2 = 0.03 (small). The power analysis revealed that a sample size of 256 would be adequate to test the anticipated effects.",No,,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,,
13,RTT,,PMC6923274,No,Humans,,Frontiers in Psychology,2019,2.089,"I conducted a 2 [occupation: masculine (firefighting)/feminine (nursing)] × 2 (target gender: female/male) between-subjects experiment. After receiving IRB approval for the project, participants (N = 255) were recruited from the psychology participant pool at a large public university in the northeastern United States, and received course credit for their participation. Sample size was based on an a priori power analysis using G∗Power 3 (Faul et al., 2007), with power set at 0.8 and alpha set at 0.05. Because no published studies had examined perceptions of men’s and women’s crying in different contexts at the time that the research was conducted, I conservatively estimated based on my own past research on gender that effect sizes would fall in the medium-small range, and set effect size at ηp2 = 0.03 (small). The power analysis revealed that a sample size of 256 would be adequate to test the anticipated effects.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",that they did NOT use the default option; that they were testing the interaction,"Yes, and the researchers selected a non-default option.",,
13,EZ/RTT,,PMC6923274,No,Humans,,Frontiers in Psychology,2019,2.089,"I conducted a 2 [occupation: masculine (firefighting)/feminine (nursing)] × 2 (target gender: female/male) between-subjects experiment. After receiving IRB approval for the project, participants (N = 255) were recruited from the psychology participant pool at a large public university in the northeastern United States, and received course credit for their participation. Sample size was based on an a priori power analysis using G∗Power 3 (Faul et al., 2007), with power set at 0.8 and alpha set at 0.05. Because no published studies had examined perceptions of men’s and women’s crying in different contexts at the time that the research was conducted, I conservatively estimated based on my own past research on gender that effect sizes would fall in the medium-small range, and set effect size at ηp2 = 0.03 (small). The power analysis revealed that a sample size of 256 would be adequate to test the anticipated effects.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",that they did NOT use the default option; that they were testing the interaction,"Yes, and the researchers selected a non-default option.",,
13,resolveNotes,,,,,,,,,,nc,,nc,,
