id,coder,pmcid,protocol,include,participants,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,multiple,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general,effect_size_type_binary,stat_test_binary,all6,all6_binary,reproducible_binary,justification_binary,just_previous,just_pilot,just_convention,just_mcid,just_none,just_ref,just_other
20,EZ/RTT,PMC8977513,No,Include,Human,Frontiers in Psychiatry,FRONTIERS MEDIA SA,2022,4.157,"A sample size of at least 22 is necessary for detecting a effect with a power level of 80% and a significance level of 0.05, using a sample size calculator G*Power, based on the previously found effect size of Î·2p = 0.31 (2, 5).",Solves for sample size (often called a priori),No,0,,1,0.8,1,0.05,1,22,Other: Standardized,partial eta squared,,1,0.31,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but I cannot reasonably assume which option they used.",Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,,1,0,5,0,0,1,1,0,0,0,0,0,0
21,EZ/RTT,PMC5842142,No,Include,Non-human animal,Molecular Oral Microbiology,WILEY,2017,3.061,"The appropriate number of animals for this study was determined by power analysis using G POWER 3 software.22 Power calculation indicated an appropriate sample size of six rats per group to detect statistically significant effects between groups. This sample size correlates to an effect size f of 0.40 (F-tests analysis of variance: repeated measures, within‚Äìbetween interaction). For this study, we had three experimental groups (A. actinomycetemcomitans D7S-1, ŒîltxŒîcdt, and sham control) and two experimental end points (t=1 and t=3 weeks), and an overall total of 36 animals.",Solves for sample size (often called a priori),No,1,3,0,NA,0,NA,1,24,f,,,1,0.4,ANOVA,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","assumed alpha of 0.05, power of 0.80, and correlation of 0.5. Also, default ANOVA option. And that the sample size was 4 groups x 6 rats, rather than the 36 animals they actually report using.",No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",No,I don;t see anywhere where they report the results from an ANOVA.,Unsure (there's not enough information to reasonably code yes or no).,,,,,1,1,4,0,1,0,0,0,0,0,1,0,0
22,EZ/RTT,PMC6105177,No,Include,Human,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,SPRINGER,2018,3.263,"The independent variables were the person depicted in the test phase (stimulus category: same person, same-gender distractor, different-gender distractor), yielding a three-level factorial design with repeated measures. Dependent variables were response omissions (due to time out), reaction times, responses (yes and no, to indicate if the displayed face is of the person that previously made a given statement), and ERPs in three time windows. Given the within-subjects design, the sample size was determined beforehand on the basis of the reasoning that a minimum of N = 20 would be needed to obtain reliable data (Simmons, Nelson, & Simonsohn, 2011). More precisely, given Œ± = .05 and 22 participants, large main effects of f = 0.40 could be detected with a probability of 1 ‚Äì Œ≤ = .89 assuming a small correlation (r = .20) among the repeated measures (Cohen, 1977; Faul, Erdfelder, Lang, & Buchner, 2007).",Solves for sample size (often called a priori),No,0,,1,0.89,1,0.05,1,22,f,,,1,0.4,the statistical test is NOT reported,,,nonsphericity correction.,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","that they ran an ANOVA. the # of groups and measures weren't entirely clear,","Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",Yes,3 level 1-way anova,No,,,,,1,0,5,0,1,1,0,0,1,0,0,0,0
23,EZ/RTT,PMC6396727,No,Include,Human,Frontiers in Nutrition,FRONTIERS MEDIA SA,2019,NA,"Sample size was based on a priori power analysis completed with G*Power 3.1. Based on the ES of 0.7 for CAF compared to PLA on endurance capacity and RPE (1, 2), a total sample size of 24 yielded statistical power of 0.8 (rho = 0.5, alpha level = 0.05, two groups, four treatments). In the study by Astorino et al. (25) with eight participants in each of two groups (active vs. endurance-trained), CAF improvements in time trial performance were only observed in the endurance-trained group, suggesting the current study was adequately powered to find differences in caffeine effects across groups with different fitness levels. The ES between the endurance-trained and active groups' time trial performance (25) when ingesting caffeine (on the second of two caffeine trials) was calculated to be 1.8, resulting in a power of 0.92 with 8 participants per group.",Solves for sample size (often called a priori),No,1,3.1,1,0.8,1,0.05,1,24,No,,,1,0.7,the statistical test is NOT reported,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",that they performed an ANOVA using Cohen's recommended method,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, and the researchers selected a non-default option.",Unsure (there's not enough information to reasonably code yes or no).,"They power for a 2x4 analysis, but only report that they will do one-way and three way ANOVAs in their methods section. I can't tell based on the results section if they ran a 2x4 ANOVA. Perhaps Figure 2 shows this analysis.",Unsure (there's not enough information to reasonably code yes or no).,,,,,0,0,4,0,1,1,1,0,0,0,0,0,0
24,EZ/RTT,PMC6509448,No,Include,Human,Journal of exercise rehabilitation,KOREAN SOC EXERCISE REHABILITATION,2019,NA,"G*Power package software program (Version 3.1.9.2, Franz Faul, Universitat Kiel, Germany) was used to determine the required sample size for this study. It was calculated using analysis of variance (ANOVA): repeated measures, within-between interaction menus of the program. Post hoc power was determined as 100.0% for group√ótreatment interaction regarding VAS_activity values.","Solves for sample size (often called a priori),Solves for power (often called post hoc)",No,1,3.1.9.2,0,NA,0,NA,0,NA,No,,,0,NA,ANOVA,,,"all ANOVA relevant measures (correlaiton, within/between...)",No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,"Yes, but I cannot reasonably assume which option they used.",Yes,"both used an ANOVA. the exact detials are uncertain, however. E.g. the number of groups and measurements.",Unsure (there's not enough information to reasonably code yes or no).,NTA,,,,0,1,1,0,0,0,0,0,0,0,1,0,0
25,EZ/RTT,PMC6878866,No,Include,Human,international journal of sports physical therapy,NORTH AMER SPORTS MEDICINE INST-NASMI,2019,NA,"A convenience sample of 60 recreationally active females between 18 and 25 years of age was recruited for this study...Data from a previously conducted pilot study was used to calculate the required sample size for this current study. G* Power software (G*Power 3.1.10, Dusseldorf, Germany) was used to determine that the sample size needed to achieve statistical power was 60 subjects. This study was approved by the Institutional Review Board at Slippery Rock University.",Solves for sample size (often called a priori),No,1,3.1.10,0,NA,0,NA,1,60,No,,,0,NA,the statistical test is NOT reported,,,,No,,Other (please describe),allude to previous study for sample size,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,,,,0,0,1,0,0,1,0,0,0,0,0,0,1
26,EZ/RTT,PMC6980184,No,Include,Human,Cancer,WILEY,2020,6.102,"When the necessary sample size was calculated using the G*Power 3.1.9.2 software,22 the results showed that 21 participants would be needed with an assumed effect size of 0.8023(the difference in pain and accompanying symptom scores), 80% of power, and an alpha level of 0.10. Thus, the total number of participants (n = 115) in the analysis was adequate to test the hypotheses.",Solves for sample size (often called a priori),No,1,3.1.9.2,1,0.8,1,0.1,1,21,No,,,1,0.8,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,appears to be posthoc,,,,0,0,4,0,0,0,0,0,0,0,1,0,0
28,EZ/RTT,PMC8854753,No,Include,Human,Frontiers in Psychiatry,FRONTIERS MEDIA SA,2022,4.157,"A priori analysis performed using G* Power software (24) revealed that to detect a correlation with r = 0.01 and power of 0.95, the calculated sample size was 595. Due to the potential non-response, questionnaires were sent to more participants.",Solves for sample size (often called a priori),No,0,,1,0.95,0,NA,1,595,r,,,1,0.01,the statistical test is NOT reported,,,"Many. I can get the same 595 with a Two dependent Pearson r's, but this isn't an analysis they use in their article.",No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,"I think the study is powering for the point biserial correlation model (results given in Table 2). So I’d argue that yes, it does match a statistical analysis used in the article.",Unsure (there's not enough information to reasonably code yes or no).,,,,,1,0,4,0,0,0,0,0,0,0,1,0,0
29,EZ/RTT,PMC9029872,No,Include,Human,Journal of Clinical Medicine,MDPI,2022,4.242,"A sample size calculation was conducted using G*Power 3.1. Assuming an effect size of f = 0.25, an alpha significance level of Œ± = 0.05, and a statistical power of 0.80, the required sample size was N = 36 [49].",Solves for sample size (often called a priori),No,1,3.1,1,0.8,1,0.05,1,36,f,,,1,0.25,the statistical test is NOT reported,,,"number of groups and measurements, correlation, ANOVA option",No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They have 4 primary outcomes.,"Yes, but I cannot reasonably assume which option they used.",Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,,1,0,5,0,0,0,0,0,0,0,1,0,0
30,EZ/RTT,PMC9122028,No,Include,Human,Frontiers in Psychiatry,FRONTIERS MEDIA SA,2022,4.157,"Sample size calculation was performed for the primary outcome WOMAC pain, namely the differences in improvement of WOMAC pain between the OLP and NT groups (randomization rate 2:1). We estimated that a total sample size of 60 would provide 80% power (one-sided p < 0.05) to detect a moderate-to-large effect (d = 0.7), as reported by Kaptchuk et al. (23). Sample size calculation was performed using GPower (version 3.1).",Solves for sample size (often called a priori),No,1,3.1,1,0.8,1,0.05,1,60,d,,,1,0.7,the statistical test is NOT reported,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",independent samples t-test,Previously published research,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",They clearly demarcate a primary outcome.,No,Yes,"Not 100% sure, but highly probable.",No,NTA,,,,1,0,5,0,1,1,1,0,0,0,0,0,0
31,EZ/RTT,PMC5357186,No,Include,Human,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,LIPPINCOTT WILLIAMS & WILKINS,2017,4.041,"Using data from Poole et al (32), we estimated that a sample size of 16 participants would detect differences between incremental and verification tests at 80% power (Œ± = 0.05; effect size = 0.759; two tailed hypothesis; based on a t test analysis) (15). The sample size of this study is comparable to other studies that have examined differences in VÃáO2 between incremental and verification tests (7, 22, 38)",Solves for sample size (often called a priori),No,0,,1,0.8,1,0.05,1,16,No,,,1,0.759,t-test,,,independent or paired,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",assumed a paired t-test,Previously published research,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",They compare the incremental and verification tests as their primary test...,No,Yes,Table 2: Incremental vs verification within each group.,No,"However, their sample sizes are 12 and 11 per group. There power calc says they need 16 PER GROUP.",,,,0,1,5,0,1,1,1,0,0,0,0,0,0
35,EZ/RTT,PMC6547534,No,Include,Human,BMC Anesthesiology,BMC,2019,1.788,"Data for 10 patients from our centre showed that the mean‚Äâ¬±‚ÄâSD of the lung score of these patients subjected to non-ultrafiltration was 13.1‚Äâ¬±‚Äâ5. With the assumption of a 30% difference between groups and by using G power software (version 3.1.3, Heinrich-Heine-Universit√§t, D√ºsseldorf Germany) with power of 0.8 and 0.05 alpha error, the sample size was 27 per group, rolled up to 30 to allow for possible dropouts.",Solves for sample size (often called a priori),No,1,3.1.3,1,0.8,1,0.05,1,54,"Other: Non-standardized (e.g., 5 points on a questionnaire scale).",,30% difference,1,NA,the statistical test is NOT reported,,,They report several tests and then their power calc. It's unclear which test they use.,No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",They have aprimary outcome,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,It's unclear how they calculated the effect size. It appears they did from the 13.1 +/- 5 and 30% dif.,,,,1,0,5,0,0,0,0,0,0,0,1,0,0
36,EZ/RTT,PMC6684868,No,Include,Non-human animal,Seminars in Thoracic and Cardiovascular Surgery,ELSEVIER INC,2019,NA,"For FCM expert analysis study, an a-priori power analysis (G*Power 3.1.9.2, University of Duesseldorf) was performed.23 A minimum sample size of 81 per group was estimated to achieve statistical power of 0.8 and detect an effect across the 2 groups with medium effect size of 0.4 and significance criteria of 0.05",Solves for sample size (often called a priori),No,1,3.1.9.2,1,0.8,1,0.05,1,162,No,,,1,0.4,the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",no statistical tests at all from what i can see,No,No,"There is no inferential test regarding the ""expert analysis""",Yes,"They calculate an effect size, but only present specificity and sensitivity.",,This is a bit weird in that they test 8 participants with 81 samples per group. So the power calc is for the performance of a single examiner.,,0,0,4,0,0,1,0,0,1,0,0,0,0
