StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,coder,coder_4_TEXT,pmcid,protocol,include,participants,participants_4_TEXT,journal,pubYear,impactFactor,verbatim,powerCalcType,powerCalcType_4_TEXT,multiple,statsKnowledge,version,version_1_TEXT,power,power_1_TEXT,alpha,alpha_1_TEXT,sampleSize,sampleSize_1_TEXT,effectSizeType,effectSizeType_6_TEXT,effectSizeType_7_TEXT,effectSizeValue,effectSizeValue_1_TEXT,statTest,statTest_5_TEXT,statTest_6_TEXT,otherRepro,reproducible,reproducible_2_TEXT,justification,justification_5_TEXT,multCompare,multCompareText,ANOVAwithinBetween,match,matchText,error,errorText,impact,commentsCalc,commentsGeneral
2022-04-26 23:37:14,2022-04-26 23:37:14,Survey Test,,100,0,True,2022-04-26 23:37:14,R_0ugCjNLTh8JjXOC,,,,,37.0609,-122.0198,test,,Other,Consectetuer arcu. Tempora sed dignissim non dignissim interdum vehicula fusce lorem eget tempora ridiculus faucibus.,"Porttitor tempora? Erat purus. Neque molestie suscipit. Erat non facilisis? Nibh, quis eros.",Yes,Include,Humans,,Tellus potenti aliquam elit facilisis ab elementum fringilla laoreet eget duis aliquam.,"Vulputate, pede dignissim. Maecenas. Nibh vehicula ridiculus fermentum. Odio curabitur.","Rutrum nec dignissim dolor, auctor? Mattis nunc velit augue. Duis magnis blandit.",Euismod vestibulum pellentesque viverra non ac atque sit luctus? Vehicula.,Solves for power (often called post hoc),,Yes,Probably,,,Yes,"Velit atque! Gravida rutrum accusamus curabitur, cursus scelerisque vehicula erat.",No,,Yes,Imperdiet turpis sit ut sit tortor gravida commodo at placerat vel morbi tempus at.,w,,,No,,"test of proportions (e.g., Fisher's, or chi-squared)",,,"Praesent augue morbi? Auctor, a elementum vestibulum velit facilisi at.",No,,Other (please describe),"Elementum erat porta proin non dapibus sagittis, ante vulputate volutpat convallis ullamcorper.",Yes,Neque cursus. Non sagittis dignissim magna vulputate ultrices. Risus rhoncus tempor.,"Yes, but I cannot reasonably assume which option they used.",The article is a protocol,Facilisi? Lacus velit per arcu sit pede etiam curabitur ut. Pretium! Donec.,"Likely, but I cannot be certain based on the information provided.","Purus consequat! Turpis, pellentesque elementum bibendum venenatis? Quis integer? Donec molestie.",,Eu. Dolor odio cursus! Felis suscipit rhoncus velit? Quam? Ipsum eget pede purus natoque.,"Placerat temporibus non nullam. Dolor nonummy morbi! Et duis, malesuada tempora."
2022-04-26 23:37:14,2022-04-26 23:37:14,Survey Test,,100,0,True,2022-04-26 23:37:14,R_5jPORc3xC8ha0yG,,,,,37.0609,-122.0198,test,,RTT,,"Accusamus arcu? Consectetuer ullamcorper dolor ante. A blandit! Consequat aliquam, fringilla facilisi dictumst ridiculus magna.",No,Include,Other,"Placerat culpa? Iaculis. Porttitor non! Tellus. Etiam purus, faucibus atque.","Dolor, mi mi, blandit! Dui tempus praesent, rutrum tellus dictumst ultrices.","Magna, id, egestas tempor vehicula donec molestie vitae. Porttitor iaculis velit.",Metus iaculis natoque mattis vulputate temporibus cras ante culpa potenti accusamus.,Mi rutrum integer laoreet accusamus potenti volutpat? Mi pharetra vestibulum sagittis! Cras.,Other,,Yes,Probably,,,No,,No,,No,,f,,,No,,other regression (please describe),"Eu sodales. Risus sollicitudin sodales magnis nunc gravida, porta imperdiet eros.",,Vestibulum enim eu etiam quis ultrices tincidunt venenatis platea malesuada morbi vehicula. Dolorem. Eget.,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","Consequat justo porttitor. Rhoncus mattis sit pharetra bibendum, magna in integer erat temporibus proin.","Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,2,Vel ut. Potenti! Ligula wisi lectus pede suscipit ullamcorper montes sollicitudin wisi nulla amet.,"Yes, and the researchers selected a non-default option.",No,Ridiculus felis culpa! Rhoncus quam. A nonummy nunc felis orci egestas accumsan enim.,No,Imperdiet orci turpis nonummy vitae! Dolorem quis rutrum scelerisque facilisis at.,,Laoreet enim duis est placerat! Fusce vehicula vehicula. Lectus posuere porttitor accumsan.,"Vestibulum sit, montes! Malesuada nulla eu? Primis, sed iaculis mauris facilisi."
2022-05-17 02:37:19,2022-05-17 02:37:27,Survey Preview,,100,7,True,2022-05-17 02:37:27,R_T0pt9tIXvdNW36x,,,,,37.0609,-122.0198,preview,EN-GB,,,,,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17 02:37:30,2022-05-17 02:37:39,Survey Preview,,100,9,True,2022-05-17 02:37:40,R_1exkCHMvRSrstsU,,,,,37.0609,-122.0198,preview,EN-GB,,,,,,,,,,,,,,,"No (If you select this option, the survey will terminate and we will be sure to get a stats savvy coder to be the other coder for this power calculation)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 20:58:17,2022-05-23 21:19:22,IP Address,71.202.106.57,100,1265,True,2022-05-23 21:19:23,R_cC6JNzycc3Q74MF,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC5842013,No,Include,Humans,,Medicine (Baltimore),2018,1.870,"The sample size was estimated using the G∗Power software 3.1.9.2 (Universität Düsseldorf)[26] considering a statistical power (1 – β) of 0.8, effect size of 0.3, and P = .05. The minimal sample size required for each study group was 8.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1.9.2,Yes,0.8,Yes,0.05,Yes,16,No,,,Yes,0.3,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They run at least 4 differents sets of analyses,No,No,There is no test I can figure out of the ones they list that would results in a sample size of 8 per group.,Yes,They don't state the type of effect size and I cannot create a calculation that would output sample size of 8/group with an effect size or 0.3.,,,
2022-05-23 21:19:26,2022-05-23 21:23:07,IP Address,71.202.106.57,100,220,True,2022-05-23 21:23:07,R_2zqAObRkwmx4YBt,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC8160720,No,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 21:23:19,2022-05-23 21:29:20,IP Address,71.202.106.57,100,360,True,2022-05-23 21:29:20,R_2wBLjeg4WYPPBIt,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC7852282,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,BMC Biology,2021,7.431 [2020],"Based on data from our previous reports [53] or from preliminary experiments, we calculated the sample size using G*Power 3.1.9.2 to ensure adequate power of key experiments for detecting pre-specified effect sizes.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1.9.2,No,,No,,No,,No,,,No,,the statistical test is NOT reported,,,,No,,Previously published research,,Unsure,NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,There is no info about the power calculation.,,,no JIFs available past 2020.
2022-05-23 21:29:29,2022-05-23 21:40:12,IP Address,71.202.106.57,100,642,True,2022-05-23 21:40:12,R_1I3FgUucLzz50HD,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC8700065,No,Include,Humans,,Journal of Hospitality and Tourism Management,2022,5.959,"G*power 3.1 software was used to perform a power analysis to determine the appropriate sample size (Faul, Erdfelder, Lang, & Buchner, 2007). The power analysis used an α of 0.05 and a power level of 0.8 as the recommended standard parameter levels (Cohen, 1990). A sample size of 64 was required to reach sufficient statistics. We collected valid responses from 406 participants. Among our four experimental scenarios, the cell sizes ranged from 98 to 107 participants. Therefore, the sample size of this study was more than sufficient to ensure the robustness of the results of the statistical method.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.8,Yes,0.05,Yes,256,No,,,No,,the statistical test is NOT reported,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)","They used t-tests, I assumed two-tailed and with effect size of d=0.5. I was able to reprodcuce (probably) because this is a classic calculation.",No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",they ran several pairwise t-tests,No,Yes,"I am being lenient in the sense that they never say they are doing a t-test, but I can assume they are.",No,NTA,,"The authors claim their power analysis was a priori, but it probably wasn't because they far exceeded their sample size. ",
2022-05-23 21:40:14,2022-05-23 22:08:05,IP Address,71.202.106.57,100,1670,True,2022-05-23 22:08:05,R_3Ms42Ars2oaLEMO,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC5825989,No,Include,Humans,,Frontiers in Psychology,2018,2.321,"Based on the fairness interaction effect of our Experiment 2, we performed a power analysis with power of 0.95 in G∗power 3 (Faul et al., 2007) to calculate the sample size. The result suggested that we should get approximately 60 individuals to achieve the predicted effect size. Thus, sixty naïve participants were tested; the data from one participant was excluded due to being incomplete.",Solves for sample size (often called a priori),,No,Yes,Yes,3,Yes,0.95,No,,Yes,60,No,,,No,,the statistical test is NOT reported,,,,No,,Other (please describe),a previous study in the same publication,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,,,
2022-05-17 02:07:51,2022-05-17 02:08:16,IP Address,71.202.106.57,13,25,False,2022-05-24 02:08:19,R_1Le7hHpSYBNEd5K,,,,,,,anonymous,EN-GB,RTT,,1,No,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
