id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
3,EZ,1,,PMC6776827,No,Include,Humans,,Frontiers in Psychology,,2019,2.089,"The necessary sample size for this study was calculated using Gâˆ—Power (Faul et al., 2007). A sample size of 34 participants per group was needed to detect a moderate-to-large effect size (Cohenâ€™s d â‰¥ 0.7) with 80% power using a t-test with an alpha of 0.05 (two tailed significance).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.8,Yes,0.05,Yes,68,d,,,Yes,0.7,t-test,,,,"Yes, based solely on the information in the article or its supplementary material",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).","Many different tests, using t tests presumably but no clear primary analysis or outcome",No,Yes,NTA,No,NTA,Well assuming a very conservative Bonferroni correction of alpha/6 (as the primary outcome or main outcome table has 5 statistical tests with no clear primary analysis) giving us an alpha of 0.008 we get an increase in sample size required from 68 to 100.,,
3,RTT,2,,PMC6776827,No,Include,Humans,,Frontiers in Psychology,,2019,2.089,"The necessary sample size for this study was calculated using Gâˆ—Power (Faul et al., 2007). A sample size of 34 participants per group was needed to detect a moderate-to-large effect size (Cohenâ€™s d â‰¥ 0.7) with 80% power using a t-test with an alpha of 0.05 (two tailed significance).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.8,Yes,0.05,Yes,68,d,,,Yes,0.7,t-test,,,"paired or independent t-test (this can be implied by ""34 participants per group""; # of tails","Yes, but I've had to make some assumptions. (please list the assumptions you made)",two tailed,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)","They identify the POM-2 as their primary outcome. They present it as an ""overall"" effect, and also as the 2 components seperately.",No,Yes,NTA,No,NTA,,,I misentered the JIF for the past 2 articles. I entered the JCI by mistake.
3,EZ/RTT,,,PMC6776827,No,Include,Humans,,Frontiers in Psychology,FRONTIERS MEDIA SA,2019,2.089,"The necessary sample size for this study was calculated using Gâˆ—Power (Faul et al., 2007). A sample size of 34 participants per group was needed to detect a moderate-to-large effect size (Cohenâ€™s d â‰¥ 0.7) with 80% power using a t-test with an alpha of 0.05 (two tailed significance).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.8,Yes,0.05,Yes,68,d,,,Yes,0.7,t-test,,,"paired or independent t-test (this can be implied by ""34 participants per group""; # of tails","Yes, based solely on the information in the article or its supplementary material",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)","They identify the POM-2 as their primary outcome. They present it as an ""overall"" effect, and also as the 2 components seperately.",No,Yes,NTA,No,NTA,,,
3,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"power calc says "" (two tailed significance)."" RTT missed this.",,,,,,,,,,,,,
4,EZ,1,,PMC7090089,No,Include,Humans,,Frontiers in Pediatrics,,2020,2.349,"Statistical significance was considered at P < 0.05. A power calculation on the G*Power program was also performed, based on Cohen's method. When an effect size index of 0.2 (corresponding to â€œweak to moderateâ€ gene effect) was used the present sample size revealed a >93% power for detection of significant association (a < 0.05)",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,RTT,2,,PMC7090089,No,Include,Humans,,Frontiers in Pediatrics,,2020,2.349,"A power calculation on the G*Power program was also performed, based on Cohen's method. When an effect size index of 0.2 (corresponding to â€œweak to moderateâ€ gene effect) was used the present sample size revealed a >93% power for detection of significant association (a < 0.05).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EZ/RTT,,,PMC7090089,No,Include,Humans,,Frontiers in Pediatrics,FRONTIERS MEDIA SA,2020,2.349,"Statistical significance was considered at P < 0.05. A power calculation on the G*Power program was also performed, based on Cohen's method. When an effect size index of 0.2 (corresponding to â€œweak to moderateâ€ gene effect) was used the present sample size revealed a >93% power for detection of significant association (a < 0.05)",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EZ,1,,PMC7195684,No,Include,Humans,,Journal of Clinical and Experimental Dentistry,,2020,NA,"The post hoc sample size was calculated based on an error of 10% (Î± = 0.10), and a power test of 85% for the main result of the electromyographic activity in the condition of raisin chewing (average values of the right temporal muscle). The value for the group with osteoarthrosis was 1.27 (0.86), and for the control group, the value was 0.81 (0.43), and the effect size was 0.67. The minimum sample size was 48 subjects (24 for each group). The sample size was calculated using the free-access software program G* Power version 3.1.9.2 (Franz Faul, Kiel University, Kiel, Germany).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RTT,,,PMC7195684,No,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,RTT2,2,,PMC7195684,No,Include,Humans,,Journal of Clinical and Experimental Dentistry,,2020,NA,"The post hoc sample size was calculated based on an error of 10% (α = 0.10), and a power test of 85% for the main result of the electromyographic activity in the condition of raisin chewing (average values of the right temporal muscle). The value for the group with osteoarthrosis was 1.27 (0.86), and for the control group, the value was 0.81 (0.43), and the effect size was 0.67. The minimum sample size was 48 subjects (24 for each group). The sample size was calculated using the free-access software program G* Power version 3.1.9.2 (Franz Faul, Kiel University, Kiel, Germany).",Other,Post-hoc sample size calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EZ/RTT,,,PMC7195684,No,Include,Humans,,Journal of Clinical and Experimental Dentistry,Spanish Society of Oral Surgery (SECIB),2020,NA,"The post hoc sample size was calculated based on an error of 10% (Î± = 0.10), and a power test of 85% for the main result of the electromyographic activity in the condition of raisin chewing (average values of the right temporal muscle). The value for the group with osteoarthrosis was 1.27 (0.86), and for the control group, the value was 0.81 (0.43), and the effect size was 0.67. The minimum sample size was 48 subjects (24 for each group). The sample size was calculated using the free-access software program G* Power version 3.1.9.2 (Franz Faul, Kiel University, Kiel, Germany).",Other,Post-hoc sample size calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,resolveNotes,,,,,"after seeing this coding discrepancy, we decided to include this type of calculation and point out that it is a ost-hoc calculation for the sample size needed in a future study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EZ,1,,PMC7862452,No,Include,Humans,,Scientific Reports,,2021,3.998,"To determine the sample-size, we conducted in G*Power 3.185 a power analysis based on the data of our previous study15 showing that, in a similar task, the impact on performance of a reversal of action-note associations in the partner is modulated by task interactivity. The analysis revealed that, with Î±â€‰=â€‰0.05 and statistical power at 1â€“Î²â€‰=â€‰0.95, we needed a sample size of Nâ€‰=â€‰12 to replicate such an effect (paired sample t-test comparing the effect of Association between the interactive and non-interactive task)",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.95,Yes,0.05,Yes,12,No,,,No,,t-test,,,,No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",NTA,No,Yes,NTA,Unsure (there's not enough information to reasonably code yes or no).,not sure what they did to be entirely honest.,,,
6,RTT,2,,PMC7862452,No,Include,Humans,,Scientific Reports,,2021,0.86,"To determine the sample-size, we conducted in G*Power 3.185 a power analysis based on the data of our previous study15 showing that, in a similar task, the impact on performance of a reversal of action-note associations in the partner is modulated by task interactivity. The analysis revealed that, with Î±â€‰=â€‰0.05 and statistical power at 1â€“Î²â€‰=â€‰0.95, we needed a sample size of Nâ€‰=â€‰12 to replicate such an effect (paired sample t-test comparing the effect of Association between the interactive and non-interactive task). As we aimed to explore, within the interactive task, the presence of possible differences between different types of errors included in the reversed association condition, we doubled the sample-size. An identical sample-size was selected for the experiment described in the Main text and for the Replication experiment (see Supplementary Information).",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.95,Yes,0.05,Yes,12,No,,,No,,t-test,,,# of tails,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They run multiple analyses,No,No,They run many analyses. Only one of them is a t-test. That t-test is Bayesian and run based on other results that were obtained.,No,Although the effect size must be very large d>1 to achieve this small of a sample.,,,
6,EZ/RTT,,,PMC7862452,No,Include,Humans,,Scientific Reports,NATURE PORTFOLIO,2021,3.998,"To determine the sample-size, we conducted in G*Power 3.185 a power analysis based on the data of our previous study15 showing that, in a similar task, the impact on performance of a reversal of action-note associations in the partner is modulated by task interactivity. The analysis revealed that, with Î±â€‰=â€‰0.05 and statistical power at 1â€“Î²â€‰=â€‰0.95, we needed a sample size of Nâ€‰=â€‰12 to replicate such an effect (paired sample t-test comparing the effect of Association between the interactive and non-interactive task). As we aimed to explore, within the interactive task, the presence of possible differences between different types of errors included in the reversed association condition, we doubled the sample-size. An identical sample-size was selected for the experiment described in the Main text and for the Replication experiment (see Supplementary Information).",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.95,Yes,0.05,Yes,12,No,,,No,,t-test,,,# of tails,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They run multiple analyses,No,No,They run many analyses. Only one of them is a t-test. That t-test is Bayesian and run based on other results that were obtained.,Unsure (there's not enough information to reasonably code yes or no).,,,,
6,resolveNotes,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,nc,,nc,,,HP confirmed that you cannot run a power calc like this for a Bayesian analysis,,nc,,,,
7,EZ,1,,PMC7908791,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,BMC Cardiovascular Disorders,,2021,2.078,"The sample size was calculated using software G-power with an alpha errorâ€‰=â€‰0.05, power(1-beta)â€‰=â€‰0.95, effect sizeâ€‰=â€‰0.8, degrees of freedomâ€‰=â€‰2",Solves for sample size (often called a priori),,No,Probably,No,,Yes,0.95,Yes,0.05,No,,No,,,Yes,0.8,the statistical test is NOT reported,,,Well the loss rate is mentioned that they account for but they don't report what rate they account for therefore the real sample size is not known (without loss rate),No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",Clearly demarcated that the comparison of ROSC rates between groups is the primary outcome (although there are many p-values to find...),No,Yes,Well they indicate that they are powering for a chi-square test by reporting degrees of freedom. Following that hunch you can get the information for a power calculation but the results cannot be compared to the sample size they reported as they didn't report loss rate that they accounted for w/ the sample size they used.,Unsure (there's not enough information to reasonably code yes or no).,I'm basing the fact that I think this power calculation could be a chi-square power calc based on the df reporting. Many assumptions therefore not easy to know if I misunderstood sth or if they went wrong somewhere i cannot anticipate,Their sample size with loss rate (unreported) is 36 whilst when doing a chi-square power calc in gpower i get 25....,,
7,RTT,2,,PMC7908791,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,BMC Cardiovascular Disorders,,2021,0.53,"The primary outcome for which we were trying to detect an effect was the rates of ROSC. The sample size was calculated using software G-power with an alpha errorâ€‰=â€‰0.05, power(1-beta)â€‰=â€‰0.95, effect sizeâ€‰=â€‰0.8, degrees of freedomâ€‰=â€‰2. Therefore, 13 rats were allocated to each group considering an expected loss rate. After asphyxia-induced cardiac arrest, the rats were randomly allocated into one of 3 groups (control saline group (nâ€‰=â€‰13), IV epinephrine group (nâ€‰=â€‰13) and IM epinephrine group (nâ€‰=â€‰13)).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.95,Yes,0.05,Yes,39,No,,,Yes,0.8,the statistical test is NOT reported,,,,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,I don't know what statistical test or effect size as used in the power calc,Unsure (there's not enough information to reasonably code yes or no).,NTA,,"They have 4 groups with 13, 13, 13, and 6 participants.",
7,EZ/RTT,,,PMC7908791,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,BMC Cardiovascular Disorders,BMC,2021,2.078,"The primary outcome for which we were trying to detect an effect was the rates of ROSC. The sample size was calculated using software G-power with an alpha errorâ€‰=â€‰0.05, power(1-beta)â€‰=â€‰0.95, effect sizeâ€‰=â€‰0.8, degrees of freedomâ€‰=â€‰2. Therefore, 13 rats were allocated to each group considering an expected loss rate. After asphyxia-induced cardiac arrest, the rats were randomly allocated into one of 3 groups (control saline group (nâ€‰=â€‰13), IV epinephrine group (nâ€‰=â€‰13) and IM epinephrine group (nâ€‰=â€‰13)).",Solves for sample size (often called a priori),,No,,No,,Yes,0.95,Yes,0.05,No,,No,,,Yes,0.8,the statistical test is NOT reported,,,Well the loss rate is mentioned that they account for but they don't report what rate they account for therefore the real sample size is not known (without loss rate),No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",Clearly demarcated that the comparison of ROSC rates between groups is the primary outcome (although there are many p-values to find...),Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,they don't report the sample size without the addition for attrition,
7,resolveNotes,,,,,,,,,,,nc,,,,,,,,,,,,"they say ""13 rats were allocated to each group considering an expected loss rate"", so we can't be sure of the number before loss to follow up.",,,,,,,,,,,,,,,tb,,nc,nc,,,,,,
8,EZ,1,,PMC8146508,No,Include,Humans,,Sports (Basel),,2021,NA,"Sixty (N = 60; age: 21.03 Â± 2.1 years, body weight: 59.8 Â± 9.7 kg, body height: 166.2 Â± 6.5 cm) healthy female university students (power analysis: 0.921; G*Power ver. 3.1; FrankFaul, Universitat Kiel, Kiel, Germany) completed the experimental procedures",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
